match_key,level,ncbi_taxon_id_if_available,n_dataset_rows,active_threshold_uM,inactive_threshold_uM,source,notes
Companilactobacillus alimentarius,species,1602,1,,,,
Azotobacter vinelandii,species,354,1,,,,
Trueperella pyogenes,species,1661,1,,,,
Moraxella spp.,species,475,1,,,,
Neisseria spp.,species,482,1,,,,
Haemophilus spp.,species,724,1,,,,
Mycobacterium xenopi,species,1789,1,,,,
Mycobacterium gordonae,species,1778,1,,,,
Mycobacterium lentiflavum,species,141349,1,,,,
Streptococcus parasanguinis,species,1318,1,,,,
Acinetobacter lwoffii,species,28090,1,,,,
Microbacterium oxydans,species,82380,1,,,,
Sporosarcina ureae,species,1571,1,,,,
Lelliottia amnigena,species,61646,1,,,,
Burkholderia stabilis,species,95485,1,,,,
Kluyvera cryocrescens,species,580,1,,,,
Haemophilus ducreyi,species,724,1,,,,
Vibrio tapetis,species,52443,1,,,,
Alicyclobacillus acidoterrestris,species,1450,1,,,,
Paenibacillus polymyxa,species,1406,1,,,,
Pasteurella sp.,species,759,1,,,,
Vibrio scophthalmi,species,45658,1,,,,
Pseudomonas viridiflava,species,33069,1,,,,
Xanthomonas perforans,species,442694,1,,,,
Agrobacterium rhizogenes,species,357,1,,,,
Brenneria nigrifluens,species,55210,1,,,,
Xanthomonas translucens,species,343,1,,,,
Blautia coccoides,species,33035,1,,,,
Salmonella Bazenheid,species,590,1,,,,
Salmonella bonariensis,species,590,1,,,,
Cytobacillus firmus,species,1399,1,,,,
Pseudomonas donghuensis,species,1163398,1,,,,
Dickeya zeae,species,204042,1,,,,
Agrobacterium vitis,species,373,1,,,,
Mycoplasmopsis pulmonis,species,2107,1,,,,
Streptomyces murinus,species,33900,1,,,,
Proteus hauseri,species,183417,1,,,,
Bacillus circulans,species,1386,1,,,,
Vibrio diabolicus,species,50719,1,,,,
Alkalihalobacillus clausii,species,79880,1,,,,
Niallia nealsonii,species,115979,1,,,,
Citrobacter werkmanii,species,67827,1,,,,
Geobacillus lituanicus,species,169283,1,,,,
Geobacillus kaustophilus,species,1462,1,,,,
Geobacillus thermodenitrificans,species,33940,1,,,,
Geobacillus thermoleovorans,species,33941,1,,,,
Parageobacillus toebi,species,1906945,1,,,,
Brochothrix thermosphacta,species,2756,1,,,,
Clostridium butyricum,species,1492,1,,,,
Mycoplasma hyorhinis,species,2093,1,,,,
Weissella confusa,species,1583,1,,,,
Limosilactobacillus oris,species,1632,1,,,,
Lactobacillus gasseri,species,1596,1,,,,
Limosilactobacillus mucosae,species,97478,1,,,,
Corynebacterium pseudodiphtheriticum,species,37637,1,,,,
Staphylococcus equorum,species,246432,1,,,,
Streptococcus sciuri,species,2973939,1,,,,
Enterobacter spp.,species,547,1,,,,
Leucothrix,genus,,1,,,,
Mesomycoplasma,genus,,1,,,,
Dermacoccus,genus,,1,,,,
Riemerella,genus,,1,,,,
Acetobacterium,genus,,1,,,,
Tetragenococcus,genus,,1,,,,
Actinobacillus,genus,,1,,,,
